Manager	manager
Access	access
db	database
Accesso	access
Db	database
controlla	check
boolean	boolean
String	string
Exception	exception
Login	login
get	search
modifica	modify
inserisci	insert
elimina	delete
Accessi	access
Bean	bean
Password	password
Tipo	type
set	set
void	void
to	to
Admin	admin
Amministratore	administrator
ricerca	search
By	by
Matricola	matrix
Name	name
Amministratori	administrator
Nome	name
Cognome	surname
Email	email
Carta	letter
Identita	identity
Numero	number
id	id
Cittadino	citizen
int	int
Cittadinanza	citizenship
Residenza	residence
Via	via
Stato	state
Civile	civil
Professione	profession
Statura	status
double	double
Capelli	hair
Occhi	eyes
Segni	sign
Particolari	particular
Data	date
Rilascio	release
Date	date
Scadenza	expiry
Valida	valid
Espatrio	espatrio
num	number
civico	civic
CI	our
Id	id
Stri	string
ci	our
Codice	code
Fiscale	tax
Nascita	born
Luogo	place
Advertise	advertising
nucleo	core
Familiare	family
cancella	cancel
Nucleo	core
Comune	common
nome	name
indirizzo	address
Ip	ip
Indirizzo	address
Servlet	servet
Controller	check
Files	file
Http	http
do	do
Post	post
Request	request
Response	response
connection	connection
Connection	connection
Cambio	change
change	update
Residence	residence
In	in
registra	register
Civico	civic
Proprietario	owner
Properties	property
cpds	cpd
Combo	combo
Pooled	pool
Source	source
create	create
Pool	pool
SQL	sql
Property	property
Veto	veto
load	load
close	close
Runtime	round
serial	series
Version	version
long	long
Impiegato	employee
Impiegati	employee
Famiglia	family
note	note
Capo	chief
last	last
setn	see
Componenti	components
Richiesta	request
Richiedente	applicant
Richieste	request
capo	chief
nota	note
Note	note
controllaid	check
incrementa	increase
decrementa	decrease
tipo	type
data	data
stato	state
documento	document
Documento	document
is	is
Accettata	accept
Rifiutata	rejected
Annulla	cancel
Get	get
Carica	load
Pratica	practice
Crea	create
Pdf	pdf
Abitazione	accommodation
session	session
Session	session
Certificati	certificate
Elimina	delete
Inserisci	insert
cognome	name
email	email
matricola	matrix
login	login
password	password
cf	compare
giorno	day
mese	month
anno	year
luogo	location
advertise	warnings
cittadino	citizen
Logout	logout
Modifica	modify
cpassword	password
Cerca	search
init	init
Config	config
Mostra	show
Recupero	recovery
Registra	register
Ricerca	search
Risposta	answer
Di	of
Visualizza	view
Pratiche	practice
check	check
punto	point
Operatore	operator
Ristoto	resource
Culturale	cultural
Preferenza	preference
Immagine	image
Banner	banner
Tag	tag
News	news
Convenzione	convention
Piatto	plate
Visita	visit
Controllo	control
feedback	feedback
banner	banner
news	news
active	active
culturale	cultural
culturali	cultural
convenzione	convention
convenzioni	convention
agenzia	agency
operatore	operator
punti	point
messaggi	message
errore	error
priorita	priority
statistici	statistics
avanzata	advance
sito	site
generiche	general
visita	visit
dati	data
data_abcdefghijklmn	data
controllo	control
visite	visit
costanti	constant
globali	global
connessione	connection
statistiche	statistics
localita	location
locale	location
local	location
elenco	list
categorie	category
gestione	management
comune	common
turisti	tourist
turista	tourist
tourism	tourist
voto	vote
voti	vote
testo	text
ottieni	get
descrizione	description
telefono	telephone
telephone	phone
via	street
path	street
atti	active
caratteristiche	feature
features	feature
autenticazione	authentication
storico	history
tema	theme
subject	theme
topic	theme
numero	number
ad	advertisement
ie	ie
disattiva	disable
scheda	card
ristoro	refreshment
table	table
model	model
bene	good
piatto	plate
beni	asset
di	of
da	from
pubblicazione	publication
scadenza	deadline
nom	name
utente	user
tipologia	type
parametro	parameter
paramtro	parameter
richiesta	request
preferenza	preference
preferenze	preference
contentente	contain
posizione	position
provincia	province
citta	city
orario	schedule
apertura	open
chiusura	close
costo	cost
biglietto	ticket
media 	average
inizio	start
fine	end
prezzo	price
dimensione	dimension
partita	political
pva	party
nascita	birth
residenza	residence
registrazione	registration
attiva	active
attivi	active
apri	open
commento	comment
termini	term
termine	term
esiste	exist
nulli	null
stringa	string
lettere	letters
permesse	permission
numeri	number
caratteri	character
necessari	necessary
tagi	tag
lista	list
distanza 	distance
massima	max
pagina	page
elementi	element
rilascia	release
preferito	favorite
nuovo	new
nuova	new
ultimi	ultimate
latitudine	latitude
longitudine	longitude
altitudine	altitude
gradi	degree
radianti	radiant
parolechiave	Keyword
raggio	radius
visualizza	visualize
return	search
view	search
search	search
show	search
visualize	visualize
insert	insert
add	insert
aggiungi	add
modify	update
update	update
edit	update
modificato	modify
amend	update
delete	delete
eliminate	delete
remove	delete
cancel	delete
rimuovi	remove
error	error
wrong	error
incorrect	error
correggi	error
eateries	restaurant
immagine	image
imagelcon	image
arraylist	list
parameters	parameter
objects	object
details	detail
returns	return
banners	banner
refreshments	refreshment
inserts	insert
removes	remove
tags	tag
chooses	choose
requires	require
ensures	ensure
privileges	privilege
ends	end
restaurants	restaurant
preferences	preference
favorites	favorite
bookmarks	bookmark
sites	site
conventions	convention
points	point
realizes	realize
contains	contain
provides	provide
represents	represent
methods	method
describes	describe
characteristics	characteristic
checks	check
ratings	rate
priorities	priority
tourists	tourist
types	type
strings	string
services	service
constants	constant
stubs	stub
allows	allow
actors	actor
tasks	task
operators	operator
implements	implement
extends	extend
operations	operate
users	user
creates	create
coordinates	coordinate
radians	radian
models	model
components	component
areas	area
terms	term
serves	serve
values	value
initializes	initialize
sets	set
dishes	dish
visits	visit
results	result
elements	element
pages	page
degrees	degree
columns	column
determines	determine
instantiates	instantiate
votes	vote
positions	position
counters	counter
selected	select
included	include
allowed	allow
associated	associate
designated	designate
derived	derive
registered	register
supplied	supply
involved	involve
issued	issue
advanced	advance
confirmed	confirm
offered	offer
visited	visit
released	release
performed	perform
inserted	insert
limited	limit
displayed	display
received	receive
represented	represent
related	relate
activated	active
preferred	prefer
made	make
measured	measure
passed	pass
identified	identify
stored	store
pertaining	pertain
relating	relate
editing	edit
searching	search
existing	exist
inserting	insert
changing	change
viewing	view
using	use
entering	enter
replacing	replace
containing	contain
checking	check
handling	handle
managing	manage
rating	rate
displaying	display
scrolling	scroll
monitoring	monitor
rendering	render
testing	test
implementing	implement
extending	extend
dining	dine
returning	return
describing	describe
resting	rest
opening	open
closing	close
voting	vote
amending	amend
updating	update
setting	set
obtaining	obtain
catering	cater
extracting	extract
emerging	emerge
collecting	collect
creation	create
registration	register
communication	communicate
calculation	calculate
insertion	insert
cancellation	cancel
modification	modify
extraction	extract
scrollable	scroll
functionality	function
correctness	correct
deployment	deploy
agency's	agency
dell'	dell
container	contain
management	manage
operator	operate
given	give
handler	handle
removal	remove
intevallo	interval
val	value
bc	cultural
pr	resource
col	column
btn	button
Attivazione	activation
Renderer	renderer
table	table
scroll	scroll
Tracks	tracks
Viewport	view
Width	width
Toolbarscheda	toolbar
Field	field
Totali	total
exceptions exception
Corrente	current
media	media
txt	txt
Form	form
Event	event
initialize	initialize
internal	internal
frame	frame
stat	state
corrente current
Pane	panel
Classe	class
Specializzata	special
per	by
Avanzatapublic	Advanced
Ricerche	research
risultati	result
Pagine	page
Risultati	result
Private	private
Città	city
Up	up
Panel	panel
help	help
durata	duration
Bad	bad
Location	location
Attribute	attributu
Max	max
Account	account
Vecchie	old
Nuove	new
rilasciato	rilasciato
