0.177879	0.015279	-0.011604	0.040450	-0.008223	-0.170065	-0.102478	0.165949	-0.055516	-0.045105	0.005587	0.059036	-0.004321	-0.082424	-0.114365	0.052236	-0.125316	-0.006333	-0.149626	-0.091103	0.122480	-0.017928	-0.161391	-0.158278	-0.084636	-0.051891	0.069057	-0.137141	-0.005781	-0.027210	0.020521	-0.009793	-0.203903	0.013807	0.035770	-0.124964	0.084232	0.074786	0.137815	0.186592	-0.078345	0.059024	0.008501	0.101171	-0.033352	-0.036930	0.011877	0.016073	0.082768	0.062500	0.008383	-0.056125	-0.061508	-0.137772	0.113317	-0.013829	-0.107977	-0.062653	0.210188	-0.076576	0.058287	-0.117094	-0.067871	0.081243	0.062098	-0.148401	0.141698	-0.008071	0.011650	0.049361	-0.096827	-0.002383	0.177682	-0.018204	-0.117061	0.052528	0.118223	-0.037776	0.200514	0.038874	-0.026818	0.090033	0.045694	-0.075625	0.129056	0.013710	0.048208	-0.105029	-0.020578	0.027654	0.053026	0.125957	-0.046438	0.042332	-0.032969	0.021117	-0.161504	0.028453	0.164979	-0.046479	
0.026820	0.068099	-0.012985	0.187878	-0.023265	0.121876	-0.054896	-0.018142	-0.029100	0.110417	-0.000646	-0.063192	-0.113118	-0.067017	-0.066664	0.153004	0.081233	0.056616	-0.133360	0.134617	-0.029271	0.008126	0.011064	-0.018635	-0.042905	-0.144745	0.134987	-0.107598	-0.003861	0.065582	0.145619	-0.076796	-0.090461	0.145286	-0.137813	-0.069187	0.087096	0.170467	0.092743	0.049314	-0.098533	-0.071788	0.036543	0.049287	-0.169001	-0.044105	0.064972	-0.129329	0.068039	-0.006600	-0.064944	-0.041392	-0.007647	0.061559	0.020847	-0.035543	-0.022004	0.046646	0.091162	-0.037818	0.052045	0.052017	0.030446	0.023729	0.151356	0.049916	0.078021	0.071794	-0.031290	-0.038863	0.091453	0.020272	0.098478	0.034346	0.024209	0.050023	-0.070012	0.097463	-0.014856	0.147446	0.030797	-0.094477	-0.107904	-0.081959	0.024012	0.094142	-0.111894	-0.084561	0.135132	0.029060	-0.086852	-0.108854	0.098713	-0.115794	0.020086	-0.009593	-0.018763	0.076223	0.135717	-0.042007	
0.096452	0.093133	-0.111543	0.111890	-0.101712	0.043379	-0.109255	0.063090	0.015842	0.085442	0.084089	0.057449	-0.130165	-0.010887	-0.063684	0.146190	0.051928	0.080288	-0.108717	0.061147	-0.019410	-0.077940	-0.075319	-0.004674	-0.031920	-0.142005	0.170832	-0.130683	-0.073736	0.091506	0.143716	-0.126226	-0.145738	0.146630	-0.058567	-0.059533	0.144727	0.194279	0.191338	0.083204	-0.041682	-0.060423	0.071083	0.110455	-0.140884	-0.121007	0.084939	-0.131195	0.030096	0.042078	0.002712	-0.034220	-0.116246	-0.012903	0.143058	-0.064384	-0.062005	0.081827	0.192775	-0.008618	0.009850	0.017848	0.089976	0.118739	0.148657	0.005279	0.145643	0.062101	-0.079237	-0.057631	0.009606	-0.037497	0.154664	0.001472	-0.035221	0.104305	-0.059116	0.037520	0.073128	0.133643	0.047889	-0.042359	-0.127993	-0.031892	0.082187	0.024090	-0.006485	-0.059282	0.090035	-0.075000	-0.094986	-0.051790	-0.012468	-0.083559	-0.092796	0.007882	-0.050778	0.083006	0.182743	-0.131990	
-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
-0.004625	0.113471	-0.094704	0.080572	-0.089587	0.047093	-0.033727	-0.020565	0.029717	0.115212	0.039224	-0.068564	-0.084090	-0.007675	-0.024172	0.031630	0.055639	0.055943	-0.124819	-0.011189	0.023391	-0.018954	-0.043459	-0.007655	-0.029939	-0.028043	0.054598	0.006740	-0.060947	0.082641	0.071513	-0.109881	-0.056680	0.071200	-0.092570	-0.016287	0.041848	0.116939	0.064953	-0.013457	-0.044705	-0.016604	0.031536	-0.036613	0.001866	0.023770	0.018380	-0.080647	0.029786	-0.053531	-0.023326	0.034095	-0.074435	0.082458	0.060481	-0.050070	0.046705	0.081852	0.006083	-0.047805	-0.024771	0.038593	0.025853	0.058588	0.073931	0.047775	0.054376	0.064407	-0.046001	-0.066125	0.103684	-0.013644	0.054976	0.041669	0.013395	0.096707	-0.068746	0.088108	-0.063209	0.072040	0.062846	-0.057674	-0.093942	-0.040684	0.008412	0.086209	-0.126716	0.001471	0.064299	-0.064239	0.009498	-0.014220	0.071995	-0.107365	-0.073780	0.027758	0.000073	0.090253	0.019599	-0.011987	
0.048009	0.138010	-0.137012	-0.045877	-0.129495	-0.009012	-0.029826	0.049776	-0.037011	0.134897	0.065856	0.018983	-0.097509	-0.056917	-0.051202	-0.026586	0.093768	0.089631	-0.089895	-0.032556	-0.019524	0.041205	-0.100551	0.048728	-0.010660	0.009342	0.106047	-0.027141	-0.114045	0.027696	0.089833	-0.134562	-0.083802	0.086117	-0.039130	-0.062265	0.055846	0.125681	0.105853	-0.088402	-0.088735	-0.158552	0.015590	0.034927	0.004320	0.000772	0.007476	-0.082080	0.017005	-0.014022	0.003884	-0.018673	-0.073165	0.064769	0.009941	-0.026602	0.077723	0.109111	0.050286	0.039057	-0.036484	0.117789	0.031508	0.076111	0.073260	0.118582	0.064273	0.064906	-0.066313	-0.025367	0.035735	-0.075913	0.074115	-0.013417	-0.006801	0.136332	-0.101159	0.107445	-0.064537	0.064471	0.092656	-0.055394	-0.127235	-0.094577	-0.001457	0.087937	-0.035812	-0.060338	0.008375	-0.085364	-0.062606	-0.014171	0.004149	-0.034797	-0.046355	0.037709	-0.003669	0.084445	0.107289	-0.003503	
0.010089	0.105130	-0.111500	0.136422	-0.093386	-0.028114	0.045973	0.086408	0.034559	0.104547	0.095912	-0.027410	-0.122776	0.044470	0.033036	0.099257	0.046539	0.054307	-0.077943	-0.022424	0.068665	-0.049997	-0.067190	0.060684	-0.004125	-0.097193	0.091616	-0.102853	-0.084288	0.013348	0.113370	-0.110844	-0.148912	0.114519	-0.099528	-0.022914	0.098455	0.156429	0.124384	-0.016293	-0.003437	-0.094363	0.056432	0.047904	-0.107225	-0.063325	-0.060123	-0.085794	-0.041965	-0.063006	0.066692	0.045574	-0.029993	0.008156	0.062183	-0.047138	0.047579	0.050791	0.155287	0.020838	-0.048076	0.015013	0.094572	0.121165	0.134127	0.010324	0.094517	-0.000414	-0.095294	0.068082	0.053478	0.068535	0.110479	0.056482	0.035784	0.108894	-0.054591	0.062793	-0.006452	0.087079	0.051074	-0.034624	-0.073777	-0.004803	-0.003003	-0.027765	0.021146	-0.035157	0.082317	-0.120751	-0.027249	0.007512	0.058839	-0.113920	-0.095419	-0.040230	-0.030782	0.062219	0.150188	-0.112295	
-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
0.088344	0.030644	-0.017260	0.022757	-0.039321	-0.136740	-0.074869	0.160131	0.012029	-0.081962	-0.011311	0.078858	0.002989	0.000765	-0.038530	-0.002834	-0.130074	-0.031381	-0.071695	-0.038182	0.084123	-0.031978	-0.111787	-0.106469	-0.087117	-0.061712	-0.002769	-0.072400	0.005037	-0.026087	0.000544	0.004892	-0.137840	-0.002194	0.064931	-0.025038	0.071918	0.069869	0.047537	0.133984	0.035950	0.091598	0.025628	-0.005120	-0.007047	0.014534	0.007665	-0.010018	0.019366	0.082639	0.005810	0.038697	-0.055387	-0.155419	0.123594	-0.027534	-0.111291	-0.090232	0.151699	-0.004761	0.077695	-0.133424	-0.032275	0.124417	0.039239	-0.159893	0.153058	-0.067939	0.013519	0.016632	-0.124866	-0.064092	0.141286	-0.001405	-0.115073	0.057888	0.113814	-0.083126	0.192737	0.001171	-0.036209	0.109493	0.050971	0.014731	0.141778	-0.075711	0.074068	-0.047484	-0.058060	-0.035220	0.045857	0.052289	-0.067892	0.083281	-0.066371	0.074821	-0.178044	0.104839	0.084064	-0.101926	
-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
-0.088985	-0.002235	-0.086565	0.166359	-0.013154	0.125937	0.023561	-0.039489	0.067786	0.107550	-0.003751	-0.089056	-0.142412	0.053157	0.044071	0.105854	0.090937	-0.033448	-0.084728	0.084575	-0.026978	-0.029732	0.068816	0.071161	-0.057219	-0.125626	0.041756	-0.007856	-0.042421	0.065384	0.078513	-0.044428	-0.021774	0.074772	-0.123898	0.043293	0.055193	0.106340	0.000335	-0.039036	0.027107	-0.036837	0.100363	-0.105989	-0.071609	0.047961	0.034737	-0.169454	-0.006139	-0.045799	-0.080539	0.090696	-0.006928	0.074382	0.041224	-0.141273	0.062682	0.010003	0.039347	0.069985	-0.006879	0.042137	0.043391	0.057011	0.110916	0.064756	0.117744	-0.005487	-0.058208	0.001964	0.092414	0.049500	0.063666	0.123840	0.050203	-0.023225	-0.073002	0.079210	-0.061188	0.104473	0.080730	-0.088402	-0.107188	0.023966	0.045361	0.021320	-0.103425	0.039768	0.113075	-0.080233	-0.045194	-0.100617	0.116745	-0.104835	-0.101022	0.051427	-0.019210	0.153885	0.051913	-0.127952	
-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
-0.039268	0.012563	-0.161081	0.024096	0.017662	0.069529	-0.045138	0.021585	0.092005	0.090053	0.058030	-0.016124	-0.148676	0.025257	0.016982	0.029512	0.047552	0.023853	0.009665	0.048731	-0.049916	-0.048467	0.048598	0.026550	-0.026725	-0.073487	0.091516	0.066090	-0.120382	0.041285	0.107957	-0.061206	0.006665	0.104053	-0.017340	0.016063	0.103640	0.138042	0.067433	-0.039541	0.035881	-0.053143	0.067118	-0.055344	-0.041621	0.105381	0.073979	-0.136689	0.024329	0.024088	-0.061598	0.033879	-0.096645	0.027497	0.004028	-0.128624	0.089347	0.016967	0.009595	0.140573	-0.026050	0.042814	-0.025706	0.081369	0.049027	0.044467	0.100751	-0.015687	-0.098118	-0.024354	0.040313	-0.016202	0.057189	0.106902	-0.038002	0.022668	-0.068549	0.100132	-0.026178	0.048275	0.083953	-0.037392	-0.116733	0.024505	0.090103	0.078634	-0.037925	0.111251	0.061407	-0.090501	-0.033554	-0.091449	0.043090	-0.075583	-0.100138	0.075186	-0.076557	0.140947	0.034862	-0.029635	
0.038196	0.133483	-0.038706	0.071885	-0.117615	0.126159	-0.085758	-0.032305	-0.027539	0.086942	-0.028228	-0.000314	-0.066691	-0.043547	-0.092935	0.084421	0.110369	0.063128	-0.126475	0.094554	-0.063201	-0.010184	-0.048152	0.013276	-0.043551	-0.081942	0.073825	-0.080926	-0.018447	0.131145	0.083900	-0.109267	-0.065232	0.079404	-0.100925	-0.047877	0.049163	0.115014	0.109383	0.032303	-0.087892	-0.038669	0.020049	0.017305	-0.046185	-0.083239	0.074831	-0.125420	0.042305	0.000295	-0.051975	-0.005522	-0.063543	0.066862	0.115285	-0.012230	-0.040098	0.115564	0.074153	-0.068808	0.079236	0.066807	0.090696	0.061128	0.082485	0.061977	0.084553	0.093383	0.000835	-0.121594	0.076529	-0.062266	0.097756	0.003298	-0.009532	0.104333	-0.090100	0.025037	-0.019898	0.098856	0.023975	-0.083976	-0.135832	-0.072750	0.041582	0.057024	-0.107290	-0.069982	0.062569	0.007809	-0.087183	-0.090569	0.011823	-0.083663	-0.033906	0.030944	0.015729	0.112252	0.080295	-0.051420	
-0.106564	0.116923	-0.008086	0.134777	-0.107417	0.087859	0.032341	0.019408	0.066761	0.068638	0.015699	-0.041181	-0.063897	0.119123	0.116929	0.026289	0.036992	0.011605	-0.071501	0.099438	-0.010154	-0.013189	0.015698	0.047151	-0.014416	-0.098734	-0.013887	-0.030183	0.009408	0.040145	0.055117	-0.071363	-0.064586	0.059988	-0.119779	0.101507	0.039570	0.094776	-0.040624	-0.026422	0.101436	0.010403	0.030834	-0.083190	-0.067335	0.002053	-0.020839	-0.089226	-0.081060	-0.008371	-0.015778	0.142927	0.009581	0.020982	0.046390	-0.015296	-0.017149	-0.002371	0.033333	0.002671	0.023398	-0.018107	0.094240	0.115197	0.088246	-0.009474	0.073016	-0.044634	-0.040893	-0.048084	0.039042	-0.052614	0.054581	0.039771	0.040210	0.094043	-0.048885	-0.017226	-0.009451	0.064794	-0.001346	-0.043181	-0.057855	0.092277	0.007795	-0.084069	-0.048780	-0.017819	0.036813	-0.087786	-0.012701	-0.092127	0.051936	-0.050013	-0.044794	0.034512	-0.023350	0.112058	0.020371	-0.123129	
