0.140724	0.014370	-0.015604	0.207071	0.016462	-0.020623	-0.179692	-0.011080	0.095222	0.089561	0.032255	0.109479	-0.130450	-0.042967	-0.017478	0.125673	0.055096	-0.074911	-0.006533	-0.023896	0.038455	0.028625	-0.092017	0.053709	0.070223	-0.169682	-0.017543	0.017691	-0.062245	0.164974	0.183397	-0.015228	-0.080856	-0.093556	-0.091094	0.015481	0.001963	-0.133416	0.044712	-0.065475	-0.044882	0.076776	-0.075260	-0.072334	-0.082170	0.036918	0.010685	-0.015066	0.087297	-0.019080	-0.062857	0.013521	0.004848	0.025266	-0.048812	0.020321	0.070611	0.129900	0.000907	-0.139756	-0.064281	-0.079381	-0.049009	-0.006523	0.008110	-0.071864	0.072551	-0.121362	0.062229	0.004352	-0.013873	-0.164608	-0.140928	0.093319	-0.058364	0.034914	-0.052299	-0.128967	-0.118474	0.155345	0.061518	0.057910	-0.042375	-0.045848	-0.088307	-0.028589	0.090097	-0.133311	0.044728	0.099709	0.003498	-0.154629	-0.088745	0.133228	-0.104951	0.056097	0.051813	-0.017124	-0.177349	0.153839	
0.004498	0.110137	0.003918	0.007638	-0.080658	-0.114181	-0.094957	0.086250	0.058107	0.088934	-0.103702	-0.021130	-0.126914	-0.035750	-0.000422	0.064526	0.141754	0.025551	0.087352	0.036402	-0.035147	0.087414	-0.193296	-0.084583	0.066431	0.054457	0.129886	0.079222	-0.220920	0.019849	0.019980	-0.062132	-0.028241	-0.218053	0.006427	-0.037057	0.061016	-0.003583	0.030208	0.070047	-0.018720	-0.047142	0.116135	0.059783	-0.163545	-0.132618	0.113351	0.084877	-0.087142	-0.110637	-0.118661	-0.045715	0.098258	-0.045250	0.077922	-0.018244	0.098974	0.033510	0.000817	-0.086233	0.010046	-0.037753	-0.023400	-0.069960	0.064199	-0.139043	-0.010210	-0.015058	0.132713	0.113841	0.066762	-0.065838	-0.052584	-0.029617	0.050121	0.194742	0.040379	0.090522	0.026677	0.020938	0.043811	0.129047	-0.006459	0.122830	0.054074	-0.049760	0.020877	0.001759	-0.087247	0.133419	-0.046833	-0.119922	-0.052679	0.061509	-0.162012	0.080848	-0.050363	-0.069134	-0.010648	0.106708	
-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
0.037412	0.179289	0.095797	0.038209	-0.205957	-0.157895	-0.150462	0.015400	0.067493	0.095075	-0.111959	0.069158	-0.038791	-0.000701	0.073377	0.079062	0.143753	-0.000952	-0.005691	0.005055	-0.149333	-0.063401	-0.069605	-0.052511	-0.099825	-0.012330	0.139994	0.078095	-0.130481	-0.007781	-0.040003	-0.044190	-0.015685	-0.182259	-0.067554	-0.017993	0.116910	-0.005592	0.106311	-0.119668	-0.084072	-0.188453	0.102128	-0.043883	-0.079984	-0.023762	0.140050	0.041313	-0.043695	0.024554	-0.041892	-0.007309	0.188696	-0.212982	-0.074252	-0.062430	0.063612	0.036374	0.020711	-0.016643	0.032478	-0.030766	0.074991	-0.003037	0.150267	-0.027262	0.070441	0.015508	0.108384	0.103786	0.076552	-0.011782	-0.006664	-0.082835	-0.101071	0.207196	-0.009493	0.117993	-0.002132	0.086715	0.090032	0.125277	-0.038096	0.069290	0.067154	-0.031557	0.083509	0.079796	-0.093501	0.052604	-0.074938	0.053462	-0.114580	0.145528	-0.087863	0.147119	0.026255	0.028363	-0.070602	0.018254	
-0.049400	0.009042	-0.145765	-0.091114	0.058650	-0.003165	-0.044995	0.034103	0.035893	-0.060045	0.012586	-0.165724	-0.158745	0.068821	-0.137432	-0.030057	0.067990	-0.079440	0.160009	-0.083588	0.018939	0.091455	-0.111707	-0.121358	0.099101	0.089883	0.049946	0.054219	-0.034372	0.091150	0.097020	0.029138	0.003826	-0.055675	0.053647	0.013074	0.039243	-0.149457	-0.033119	0.090274	-0.066386	0.049860	-0.149030	0.012154	-0.010026	-0.007752	0.049656	0.038889	-0.037050	-0.109130	-0.038912	-0.163914	0.109715	0.029278	0.111610	0.173305	0.144763	0.045010	-0.063279	-0.158190	-0.091652	-0.186769	0.060469	0.121159	-0.088292	-0.143531	-0.039342	0.081147	-0.006789	0.026242	0.085283	0.060643	-0.053183	0.009735	0.119890	0.138719	-0.070915	0.027336	0.166793	0.004962	0.023007	0.024220	0.146122	-0.040940	-0.026251	-0.107635	0.064577	-0.098315	0.075891	0.208583	0.016774	-0.208739	-0.037369	0.031330	-0.008468	-0.080906	0.017318	-0.077768	-0.022905	0.194558	
-0.062424	0.010031	-0.149661	-0.060895	0.001377	-0.034740	-0.125997	0.061597	0.011369	-0.021791	-0.002902	-0.123920	-0.120640	0.072705	-0.075498	-0.141809	0.126967	-0.045775	0.092861	-0.125798	-0.018289	0.095134	-0.107631	-0.160174	0.084735	0.117171	0.154759	0.021343	-0.055273	0.018613	0.098071	0.133010	-0.041943	-0.055795	0.055486	-0.136432	-0.091586	-0.157941	-0.015831	0.046013	0.081211	0.019377	0.008430	0.075458	-0.122364	-0.071008	-0.010295	0.044851	-0.090462	-0.031917	-0.146142	-0.097757	-0.010070	0.112183	0.105691	0.200270	0.105390	-0.020581	-0.023183	-0.062474	0.086322	-0.161102	0.050689	-0.037156	0.048900	-0.067454	-0.160986	0.024218	0.106300	0.090492	-0.047282	-0.002534	-0.046996	-0.005462	0.069857	0.096227	-0.014238	-0.051605	0.028876	0.088858	0.022898	0.027229	-0.032458	-0.064614	0.010040	-0.060747	-0.041249	-0.117772	0.060703	0.158055	0.011837	-0.203116	-0.008980	0.038747	-0.109971	-0.050436	-0.048096	-0.098269	0.006074	0.147849	
-0.156991	-0.023868	0.093799	-0.051667	-0.003910	-0.220232	-0.228525	0.215395	-0.013193	0.185174	-0.074151	0.026087	-0.020374	0.012780	0.060583	0.017911	0.047665	-0.112269	0.177708	0.182850	0.057128	0.011129	0.043460	-0.077019	-0.044254	0.139564	0.159449	0.041894	-0.171683	0.009491	0.038402	-0.031858	0.122455	-0.032289	0.057648	0.009617	0.038741	-0.060531	0.037962	0.090517	-0.111504	-0.091221	0.024713	0.111033	-0.008652	0.074043	0.057166	0.071676	-0.136533	-0.024103	0.092103	-0.002467	0.167782	-0.147212	-0.055013	0.067238	0.064092	0.170497	0.054312	-0.050439	-0.002974	-0.055720	-0.019575	0.055634	-0.137476	-0.073887	0.057421	0.139343	0.046519	0.122218	0.230971	-0.028927	0.088458	-0.101252	0.098973	0.087537	0.050482	0.114878	0.161125	0.077122	0.060393	0.128017	-0.031277	-0.006272	0.030282	-0.051307	0.114617	0.015522	-0.107782	0.120867	0.106401	-0.001198	0.022522	0.037851	0.042453	0.174636	0.085646	-0.034210	-0.023901	0.058148	
0.015621	-0.004851	0.163354	-0.013403	0.031352	-0.103521	-0.092503	0.008369	0.013461	0.127779	-0.099896	-0.053250	-0.074451	-0.018883	0.013400	-0.033705	-0.020914	0.006725	0.237482	0.122771	-0.006237	-0.016614	-0.103086	-0.112261	0.064020	0.058061	0.134854	-0.085325	-0.050173	0.042569	0.011966	-0.063961	-0.024884	-0.039673	-0.051688	-0.057492	0.070760	0.041534	-0.035476	0.065813	-0.029445	-0.232904	0.082285	-0.085308	-0.078071	-0.117051	0.099805	-0.005383	-0.051624	0.013170	0.106987	-0.159674	0.070115	-0.003629	0.038096	-0.014027	0.031238	0.103233	0.074074	-0.026944	0.017592	-0.003787	-0.078892	-0.024426	0.059270	-0.114130	-0.008290	-0.057621	0.171250	0.070732	0.063239	0.010326	0.051688	-0.054267	0.112156	0.043689	0.005279	0.060367	-0.055267	0.062688	-0.078625	-0.036031	-0.046617	0.127696	0.073645	-0.006602	-0.028107	-0.109889	-0.062647	0.090404	-0.046387	-0.033424	-0.064966	0.061125	-0.074843	0.119525	0.050195	-0.023037	0.009358	0.010364	
-0.083141	-0.049262	-0.146520	0.110408	-0.009158	0.025742	-0.238594	-0.090038	0.195070	0.138926	-0.138416	-0.081833	0.055385	0.083599	0.042181	-0.054756	0.092317	-0.181473	0.003789	-0.059052	-0.033361	0.032298	-0.028268	-0.048078	-0.084994	0.065223	0.027250	0.038599	-0.047183	0.035860	0.050503	0.188185	-0.048930	0.019374	-0.053759	-0.177766	0.139129	-0.032831	-0.033224	0.071730	-0.094820	-0.012464	-0.143163	0.099665	-0.054044	0.086648	-0.050037	0.008325	0.006056	-0.006005	-0.022437	-0.042135	0.069277	0.059977	-0.005121	0.144707	0.144740	0.024744	-0.028104	-0.046196	0.094586	-0.003517	0.150536	-0.072029	-0.001145	0.010526	0.004088	-0.150002	0.183997	0.092814	0.194294	0.024300	-0.043204	-0.153920	0.096622	-0.110231	-0.151693	-0.176759	-0.023659	0.091399	0.052936	0.009750	0.048532	0.049506	-0.095110	-0.036636	-0.044802	-0.128125	0.090616	0.067797	0.168368	-0.140865	0.039537	-0.010155	0.023631	-0.067605	0.022995	-0.016271	-0.005267	0.015184	
-0.115435	-0.031329	0.037981	-0.050800	0.120523	0.069105	-0.101840	-0.105606	0.032757	0.012915	0.051764	-0.128844	-0.027328	0.031771	-0.076633	-0.112248	0.018045	-0.064541	0.159979	0.046768	-0.054079	0.146256	-0.028886	0.022199	0.050848	-0.110941	0.017765	0.004562	0.019897	0.062379	0.103103	0.059399	-0.070988	-0.002103	-0.008141	-0.195938	0.083845	-0.031650	-0.015179	0.024159	-0.014160	0.067083	-0.199731	-0.026898	-0.146217	-0.008521	-0.088516	0.065613	-0.033554	-0.068640	-0.033936	0.011315	0.081586	0.102439	0.079622	0.187929	0.011782	0.122242	-0.043857	0.006022	-0.077724	-0.125854	-0.002013	-0.148880	-0.093206	0.064378	-0.114710	-0.206747	0.152985	0.099957	0.099795	-0.076913	0.058947	-0.041334	0.019524	-0.092076	-0.037482	-0.085729	-0.105593	0.090217	-0.020488	-0.031390	0.205558	-0.024296	-0.119093	-0.079772	-0.117755	-0.102049	0.019753	0.151392	0.011230	-0.150407	0.031606	-0.061585	-0.047475	0.001905	0.061354	-0.130549	0.174660	0.066197	
-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
