UC1	delete_good_cultural
UC2	insert_good_cultural
UC3	modify_good_cultural
UC4	search_good_cultural
UC5	visualize_card_good_cultural
UC6	delete_point_of_refreshment
UC7	active_convention
UC8	modify_data_point_of_refreshment
UC9	search_point_of_refreshment_agency
UC10	visualize_card_point_of_refreshment
UC11	visualize_history_convention
UC12	visualize_card_tourist
UC13	active_disable_account_tourist
UC14	search_tourist
UC15	modify_data_account_tourist
UC16	delete_account_tourist
UC17	modify_banner
UC18	check_number_banner
UC19	delete_baner
UC20	insert_baner
UC21	insert_news
UC22	delete_news
UC23	modify_news
UC24	visualize_feedback
UC25	visualize_report_statistics
UC26	modify_comment
UC27	search_site
UC28	elimina_tag
UC29	error_tag_exist
UC30	insert_tag
UC31	modify_password
UC32	error_modify_password
UC33	register
UC34	search
UC35	log_in
UC36	log_in_error
UC37	log_out
UC38	insert_banner
UC39	modify_banner
UC40	delete_baner
UC41	modify_menu
UC42	delete_menu
UC43	modify_data_point_of_refreshment
UC44	request_convention
UC45	visualize_statistics_personal
UC46	modify_preference_of_search
UC47	modify_data_tourist
UC48	modify_preference_general
UC49	visualize_site_preference
UC50	visualize_site_visit
UC51	insert_site_preference
UC52	delete_site_from_preference
UC53	insert_feedback
UC54	modify_comment
UC55	feedback_already_released
UC56	location
UC57	search_advance
UC58	visualize_card_site
